AP,유동인구,mfr,group,name,lat,lng,address,region,setup,vpn ip,ip(option)
00067a082966,,JMPSYSTEM,무실동,7층_도시계획과,37.34222,127.92014,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.90 ,192.168.11.72
00067a082752,,JMPSYSTEM,무실동,7층_부시장실,37.341852,127.919632,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.94 ,192.168.11.73
00067a082982,,JMPSYSTEM,무실동,7층_회의실,37.342525,127.919728,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.102 ,192.168.11.74
00067a082656,,JMPSYSTEM,무실동,8층_문화예술과,37.341757,127.919864,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.110 ,192.168.11.80
00067a08284a,,JMPSYSTEM,무실동,8층_첨단산업과,37.342045,127.919929,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.106 ,192.168.11.81
00067a082862,,JMPSYSTEM,무실동,8층_교육청소년과,37.342291,127.920099,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.114 ,192.168.11.82
00067a08240E,,JMPSYSTEM,무실동,8층_지역개발과,37.341944,127.919667,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.122 ,192.168.11.83
00067a08283e,,JMPSYSTEM,무실동,8층_회계과,37.342495,127.920033,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.130 ,192.168.11.84
00067a0827c6,,JMPSYSTEM,무실동,9층_관광과,37.341792,127.920188,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.118 ,192.168.11.90
00067a0825da,,JMPSYSTEM,무실동,9층_투자유치과,37.342068,127.919842,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.134 ,192.168.11.91
00067a08245a,,JMPSYSTEM,무실동,9층_기업지원일자리과,37.342207,127.920087,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.126,192.168.11.92
00067a08276e,,JMPSYSTEM,무실동,9층_경제진흥과,37.34187,127.919688,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.138 ,192.168.11.93
00067a082612,,JMPSYSTEM,무실동,9층_재산관리과,37.34187,127.919688,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.162 ,192.168.11.94
00067a082532,,JMPSYSTEM,무실동,10층_감사관,37.342508,127.919692,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.146 ,192.168.11.100
00067a0824e6,,JMPSYSTEM,무실동,10층_식당,37.342508,127.919692,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.150 ,192.168.11.101
